60%EE 	80%EE	100%E		30%PV Rest Wind
0.44867	0.32462	0.20056		
0.44761	0.3232	0.19879		
0.44883	0.32482	0.20082		
0.44837	0.32422	0.20007		
0.44489	0.31957	0.19425		
0.43957	0.31248	0.18539		
0.44003	0.3131	0.18616		
0.43208	0.3025	0.17291		
0.42739	0.29625	0.1651		
0.42446	0.29234	0.16021		
0.42266	0.28993	0.15721		
0.41674	0.28205	0.14735		
0.41186	0.27553	0.13921		
0.41016	0.27326	0.13637		
0.40975	0.27273	0.1357		
0.40171	0.26201	0.1223		
0.40269	0.26331	0.12394		
0.40185	0.26219	0.12253		
0.40656	0.26846	0.13037		
0.41073	0.27403	0.13733		
0.397	0.25572	0.11444		
0.39575	0.25405	0.11236		
0.39677	0.25541	0.11406		
0.39757	0.25648	0.11539		
0.38614	0.24125	0.096352		
0.37469	0.22598	0.077263		
0.35384	0.19818	0.042514		
0.33993	0.17963	0.019331		
0.33513	0.17323	0.011334		
0.32911	0.1652	0.0012921		
0.32108	0.15449	0.03		
0.31655	0.14845	0.03		
0.3265	0.16172	0.03		
0.32064	0.1539	0.03		
0.3351	0.17319	0.011275		
0.33568	0.17396	0.012241		
0.34455	0.18578	0.02702		
0.32983	0.16616	0.0024963		
0.31408	0.14516	0.03		
0.30103	0.12776	0.03		
0.284	0.10505	0.03		
0.26482	0.079479	0.03		
0.23853	0.044425	0.03		
0.20301	0.03	0.03		
0.18352	0.03	0.03		
0.15667	0.03	0.03		
0.14035	0.03	0.03		
0.13614	0.03	0.03		
0.12401	0.03	0.03		
0.10771	0.03	0.03		
0.10498	0.03	0.03		
0.1161	0.03	0.03		
0.11507	0.03	0.03		
0.10694	0.03	0.03		
0.12407	0.03	0.03		
0.13863	0.03	0.03		
0.16983	0.03	0.03		
0.18697	0.03	0.03		
0.2061	0.0011926	0.03		
0.22374	0.024711	0.03		
0.24996	0.059667	0.03		
0.26857	0.084482	0.03		
0.27766	0.096605	0.03		
0.27477	0.092749	0.03		
0.2663	0.081456	0.03		
0.24732	0.056149	0.03		
0.23337	0.037543	0.03		
0.22736	0.029529	0.03		
0.2207	0.020656	0.03		
0.22047	0.020343	0.03		
0.20373	0.03	0.03		
0.18656	0.03	0.03		
0.14298	0.03	0.03		
0.13143	0.03	0.03		
0.13127	0.03	0.03		
0.1236	0.03	0.03		
0.099695	0.03	0.03		
0.089526	0.03	0.03		
0.077411	0.03	0.03		
0.062123	0.03	0.03		
0.046751	0.03	0.03		
0.028939	0.03	0.03		
0.01462	0.03	0.03		
